,N_to_C.logFC,N_to_C.AveExpr,N_to_C.t,N_to_C.P.Value,N_to_C.adj.P.Val,N_to_C.B,N_to_C.N_AVG,N_to_C.C_AVG,N_to_C.deltaBeta,N_to_C.CHR,N_to_C.MAPINFO,N_to_C.Strand,N_to_C.Type,N_to_C.gene,N_to_C.feature,N_to_C.cgi,N_to_C.feat.cgi,N_to_C.UCSC_Islands_Name,N_to_C.SNP_ID,N_to_C.SNP_DISTANCE
cg02247881,-0.153265984623108,0.245988205498247,-4.84442280673999,3.52077584312095e-05,0.035498654198561,1.99169665758746,0.171827245196744,0.325093229819851,0.153265984623108,19,18599725,R,II,ELL,Body,opensea,Body-opensea,,,
cg07019315,0.124801950319145,0.803705641253688,4.84396194622643,3.52537726181821e-05,0.035498654198561,1.99042114521729,0.864093681730694,0.739291731411549,-0.124801950319145,14,93344381,F,II,,IGR,opensea,IGR-opensea,,rs535437664;rs533490259;rs191514354,5;25;51
cg25383629,-0.14918316464486,0.747465758545925,-4.84198984930614,3.54513520464467e-05,0.0355710366216458,1.98496317333781,0.675280356298412,0.824463520943273,0.14918316464486,12,110267596,F,II,TRPV4,5'UTR,shelf,5'UTR-shelf,chr12:110271000-110271582,,
cg04430129,-0.14897252530067,0.546736371006693,-4.84145058481862,3.55055712903709e-05,0.0355710366216458,1.98347074905528,0.474652891022498,0.623625416323168,0.148972525300671,22,18922362,R,I,PRODH,Body,shore,Body-shore,chr22:18923470-18923840,rs530429691;rs187840711,42;1
cg17904129,-0.258771931084099,0.314330271569135,-4.84079742736052,3.557135223556e-05,0.0355710366216458,1.98166314876792,0.189118046851022,0.447889977935122,0.258771931084099,1,54195800,R,II,GLIS1,5'UTR,opensea,5'UTR-opensea,,,
cg04958055,0.127184871316984,0.805538067981564,4.84045511652934,3.56058755674433e-05,0.0355710366216458,1.98071582123415,0.867079134747846,0.739894263430863,-0.127184871316983,14,69404437,R,II,ACTN1,Body,opensea,Body-opensea,,rs138071466,1
cg07091793,-0.235299567748052,0.203791286381864,-4.84014563477631,3.5637116675763e-05,0.0355710366216458,1.97985935292971,0.089936656826355,0.325236224574407,0.235299567748052,10,6362483,F,II,,IGR,opensea,IGR-opensea,,rs76974834;rs553887894,24;37
cg00765035,-0.158417800490192,0.196513518923858,-4.83787963192771,3.58666947504447e-05,0.0355710366216458,1.97358854145153,0.11985974449312,0.278277544983312,0.158417800490192,8,117963139,R,II,SLC30A8,TSS200,opensea,TSS200-opensea,,,
cg05510104,-0.165544729647064,0.443432522297519,-4.83785584685656,3.58691123059788e-05,0.0355710366216458,1.97352272170432,0.363330233758617,0.528874963405681,0.165544729647064,1,16062735,R,II,SLC25A34,TSS200,opensea,TSS200-opensea,,rs374369912;rs142494131;rs570451424;rs539473799,17;8;7;1
cg04198210,-0.182857699027569,0.271184960877944,-4.83636357779188,3.60211139220337e-05,0.0355710366216458,1.96939328102399,0.182705429090411,0.36556312811798,0.182857699027569,15,74528606,F,II,CCDC33,TSS200,opensea,TSS200-opensea,,rs115078625,1
cg23011886,-0.269502690215811,0.406356307302254,-4.83497922603499,3.6162696452958e-05,0.0355710366216458,1.96556260000349,0.275951779778474,0.545454469994286,0.269502690215812,5,179230002,F,II,MGAT4B,Body,shore,Body-shore,chr5:179228283-179229003,rs560409925,21
cg00219151,-0.263870664551328,0.304587277004607,-4.83369055328323,3.62949913926842e-05,0.0355710366216458,1.96199678663326,0.176907923189448,0.440778587740776,0.263870664551328,10,61470282,R,II,SLC16A9,TSS1500,shore,TSS1500-shore,chr10:61468610-61469999,rs75322305;rs148232777,40;35
cg03953626,0.0880984210270495,0.789627149406998,4.83319079481944,3.63464260731363e-05,0.0355710366216458,1.96061396227185,0.832255417645893,0.744156996618844,-0.088098421027049,6,30652396,R,I,KIAA1949,Body,shore,Body-shore,chr6:30654392-30654934,rs532801039;rs546002517;rs199834022;rs531766576,32;30;22;21
cg06147752,-0.159928027235343,0.182465389710081,-4.83302664874002,3.63633356615973e-05,0.0355710366216458,1.96015977600774,0.105080860402657,0.265008887638,0.159928027235343,7,75189186,F,I,HIP1,Body,island,Body-island,chr7:75189055-75189289,rs146883124;rs113843272;rs587670852,0;7;48
cg23145580,-0.205152618921656,0.234761772632319,-4.83297580341743,3.63685751057715e-05,0.0355710366216458,1.96001908919434,0.135494376379905,0.340646995301561,0.205152618921656,7,141151404,F,II,TMEM178B,Body,opensea,Body-opensea,,rs546294759;rs565122127;rs532172463,0;10;45
cg10677959,0.0573454912783119,0.909008289174911,4.83218299598999,3.64503686021956e-05,0.0355710366216458,1.95782544699201,0.936756107535385,0.879410616257073,-0.0573454912783119,6,32151346,R,II,AGER,Body,opensea,Body-opensea,,rs142731923,16
cg10720080,-0.242590494077734,0.346860105431655,-4.83174266323228,3.64958765574738e-05,0.0355710366216458,1.95660709498745,0.229477608297267,0.472068102375002,0.242590494077734,3,186330699,F,II,AHSG,TSS200,opensea,TSS200-opensea,,rs142935922;rs112673334,1;47
cg21192832,-0.160399079106436,0.262887363021863,-4.8312155400367,3.65504286038549e-05,0.0355710366216458,1.95514862005418,0.185274905389717,0.345673984496153,0.160399079106436,11,70780423,R,II,SHANK2,Body,opensea,Body-opensea,,rs377346554,28
cg14601280,-0.235176858213868,0.355495923963008,-4.83109724155295,3.65626824771421e-05,0.0355710366216458,1.9548213074581,0.241700669988555,0.476877528202423,0.235176858213868,12,122176592,F,II,TMEM120B,Body,opensea,Body-opensea,,rs535410810,13
cg13369488,0.102742614707359,0.836348062551087,4.83109511547478,3.65629027430051e-05,0.0355710366216458,1.95481542495515,0.886062230957874,0.783319616250515,-0.102742614707359,12,53492633,F,II,IGFBP6,Body,shore,Body-shore,chr12:53491572-53491955,rs558789980;rs577184274;rs541376233,1;14;15
cg09801828,-0.205912950085718,0.285169630690208,-4.83028293918575,3.66471425039863e-05,0.0355710366216458,1.95256829048973,0.185534332261635,0.391447282347353,0.205912950085718,20,33462656,F,II,ACSS2,TSS200,shore,TSS200-shore,chr20:33464156-33464645,rs563628031;rs575698332;rs192832333;rs565155081,1;15;37;45
cg17027233,-0.108557236009429,0.260744494790229,-4.83025941058755,3.66495857918756e-05,0.0355710366216458,1.95250319205805,0.208216799946957,0.316774035956386,0.108557236009429,19,47923426,F,II,MEIS3,TSS1500,shore,TSS1500-shore,chr19:47922251-47922777,rs551647704;rs76302421;rs533908165,16;39;43
cg16158575,-0.186408339585493,0.287621433052113,-4.82983501146599,3.66936846598417e-05,0.0355710366216458,1.95132897968654,0.197423849381713,0.383832188967206,0.186408339585493,5,2866388,R,II,,IGR,shore,IGR-shore,chr5:2866699-2867005,rs142046655;rs9313015;rs532248740;rs150750083,46;44;2;1
cg26960719,-0.233377977544853,0.248785494267896,-4.82975564881616,3.67019370099726e-05,0.0355710366216458,1.95110940324065,0.135860666423612,0.369238643968465,0.233377977544853,17,68071302,F,II,KCNJ16,TSS200,opensea,TSS200-opensea,,rs548913912;rs570232595;rs537687802;rs8076244,0;1;39;45
cg01616349,-0.144976251654732,0.719707225250036,-4.82968560755042,3.67092216312596e-05,0.0355710366216458,1.95091561705687,0.649557426062262,0.794533677716995,0.144976251654733,11,2596468,F,II,KCNQ1,Body,island,Body-island,chr11:2596378-2596607,,
cg22858595,-0.158141737775034,0.278771166362084,-4.82950700695821,3.67278034482845e-05,0.0355710366216458,1.95042147656549,0.202250970664487,0.360392708439521,0.158141737775034,3,125897624,F,II,ALDH1L1-AS2,TSS1500,shore,TSS1500-shore,chr3:125898662-125899568,,
cg00722323,-0.163903630017612,0.183223155602934,-4.82833880074194,3.68495761299436e-05,0.0355710366216458,1.94718941115765,0.103914947529896,0.267818577547509,0.163903630017613,19,31883537,R,II,,IGR,opensea,IGR-opensea,,rs2542296,33
cg23489898,-0.225856342270978,0.332370578980457,-4.82812266369387,3.68721500634747e-05,0.0355710366216458,1.94659143657627,0.223085252075144,0.448941594346123,0.225856342270978,17,76182466,F,II,TK1,Body,shore,Body-shore,chr17:76183077-76183449,rs144482025,28
cg12819536,-0.250802832191055,0.321663227582358,-4.82805276280696,3.6879453645172e-05,0.0355710366216458,1.94639804626111,0.200307018457654,0.451109850648709,0.250802832191056,3,50309075,R,II,SEMA3B,Body,shore,Body-shore,chr3:50310445-50311397,rs587746689;rs587650582,27;4
cg10969521,0.20417530268968,0.490937153960857,4.82749229849005,3.69380657455571e-05,0.0355710366216458,1.9448474570595,0.589731655262315,0.385556352572635,-0.20417530268968,21,36355537,F,II,RUNX1,Body,opensea,Body-opensea,,rs543658397,10
cg19521279,0.157354742276371,0.633158495618712,4.82730768277474,3.69573927374793e-05,0.0355710366216458,1.94433670089798,0.709297887042762,0.551943144766391,-0.157354742276371,7,27144595,F,I,,IGR,shore,IGR-shore,chr7:27146069-27146600,rs370180792;rs540152072;rs560365346,10;33;37
cg17695537,0.146923082048944,0.75624050883615,4.82714457763825,3.69744762115582e-05,0.0355710366216458,1.94388545757194,0.8273323227308,0.680409240681856,-0.146923082048943,2,121274655,R,II,,IGR,opensea,IGR-opensea,,,
cg14353573,-0.185073523574357,0.206001601349762,-4.82555606366625,3.71412672440383e-05,0.0355710366216458,1.93949079893029,0.116449896394428,0.301523419968785,0.185073523574357,8,95220779,R,II,CDH17,5'UTR,opensea,5'UTR-opensea,,rs73266292;rs111916775,16;1
cg03925413,-0.177165724910165,0.261411279758015,-4.82548941340088,3.71482817458766e-05,0.0355710366216458,1.93930641314736,0.175685928995032,0.352851653905197,0.177165724910165,20,60145120,R,II,CDH4,Body,opensea,Body-opensea,,rs113925473;rs564279863,19;5
cg18870599,-0.0417721480347203,0.260226217917403,-4.82534430424896,3.71635580902574e-05,0.0355710366216458,1.93890497442992,0.240013888223184,0.281786036257904,0.0417721480347205,9,131183050,F,I,CERCAM,5'UTR,island,5'UTR-island,chr9:131182468-131183335,rs575311238;rs534335355;rs557527626,14;30;34
cg07113288,-0.162298252881529,0.713470017257685,-4.82463772586308,3.7238032424705e-05,0.0355710366216458,1.93695027318876,0.634938604573075,0.797236857454603,0.162298252881529,9,136839370,F,II,VAV2,Body,opensea,Body-opensea,,rs570512229;rs150401472;rs556262014,1;2;11
cg23965861,0.0913910601096557,0.859257363775758,4.82333508011738,3.73757226827986e-05,0.0355710366216458,1.93334667846767,0.903478844473978,0.812087784364323,-0.0913910601096553,5,10705332,R,II,DAP,Body,opensea,Body-opensea,,rs531375513,22
cg00734532,0.0367279123998681,0.909096400478827,4.82328983211645,3.73805145135016e-05,0.0355710366216458,1.93322150796086,0.926867970994892,0.890140058595025,-0.0367279123998675,8,66974246,F,II,DNAJC5B,Body,opensea,Body-opensea,,rs13279522;rs554715643,6;7
cg21785010,-0.290763372299036,0.339127313096927,-4.82304147807871,3.74068264672204e-05,0.0355710366216458,1.93253448332256,0.198435358758684,0.48919873105772,0.290763372299036,6,901035,F,II,,IGR,opensea,IGR-opensea,,rs186185269;rs191107855,0;30
cg26318560,-0.228495370348212,0.239763833543406,-4.82195330166222,3.75223312016722e-05,0.0355710366216458,1.92952429657892,0.129201557568465,0.357696927916677,0.228495370348212,3,49282086,F,II,CCDC36,ExonBnd,opensea,ExonBnd-opensea,,rs145680935;rs141732417,1;12
cg02764206,-0.158506814341805,0.166800830609289,-4.82193947196713,3.75238014399733e-05,0.0355710366216458,1.92948604045262,0.0901039849600287,0.248610799301833,0.158506814341805,10,4990029,F,II,,IGR,opensea,IGR-opensea,,,
cg13390503,-0.274647968481981,0.234268782336327,-4.82130629177535,3.75911764277625e-05,0.0355710366216458,1.92773453161749,0.101374604038594,0.376022572520575,0.274647968481981,6,43702704,R,II,,IGR,opensea,IGR-opensea,,rs538590387;rs556582983;rs148377845,29;2;1
cg07304680,-0.26964516932795,0.193942346310448,-4.82125168944056,3.75969921505142e-05,0.0355710366216458,1.9275834913882,0.0634688772807949,0.333114046608745,0.26964516932795,21,45508443,F,II,TRAPPC10,Body,opensea,Body-opensea,,rs551027465;rs376918029;rs149912660,0;21;31
cg26927232,0.128249668534073,0.723012059965421,4.8211895523453,3.76036114939225e-05,0.0355710366216458,1.92741160884913,0.785068351191585,0.656818682657512,-0.128249668534072,17,2135631,R,I,SMG6,Body,opensea,Body-opensea,,rs546996192;rs567188634,45;1
cg06732727,-0.248781811486739,0.251108792873994,-4.820572055563,3.76694552931523e-05,0.0355710366216458,1.92570351408485,0.130730496993314,0.379512308480053,0.248781811486739,7,47538288,R,II,TNS3,5'UTR,opensea,5'UTR-opensea,,rs539043348;rs552967577,2;1
cg14590369,0.0868296267642439,0.84617415013217,4.82026310253314,3.77024420707953e-05,0.0355710366216458,1.92484891016989,0.888188485663256,0.801358858899012,-0.0868296267642437,19,18113585,F,I,ARRDC2,Body,shore,Body-shore,chr19:18111566-18112481,rs151283133;rs140486634,19;48
cg03070236,0.162808018033187,0.587036855988354,4.8201000024755,3.77198677850403e-05,0.0355710366216458,1.92439775694689,0.665814929230218,0.503006911197032,-0.162808018033187,16,4012997,R,I,ADCY9,3'UTR,shelf,3'UTR-shelf,chr16:4015001-4015232,,
cg22339151,-0.232264846770346,0.232204302683088,-4.82003587399396,3.77267215082838e-05,0.0355710366216458,1.92422037079309,0.119818086503889,0.352082933274234,0.232264846770346,13,24721982,R,II,SPATA13,Body,opensea,Body-opensea,,rs4769327;rs549259097;rs567570902,30;21;2
cg02474109,-0.196063298283839,0.463695500249782,-4.81999283366791,3.77313221327078e-05,0.0355710366216458,1.92410131685866,0.368826162370505,0.564889460654343,0.196063298283839,7,1912065,F,II,MAD1L1,Body,shore,Body-shore,chr7:1913829-1914077,,
cg06916404,-0.143330205998181,0.307580340952516,-4.81990193288095,3.77410404457998e-05,0.0355710366216458,1.92384987641085,0.238227015469525,0.381557221467706,0.143330205998181,19,38759941,F,II,SPINT2,Body,opensea,Body-opensea,,rs115372363,7
cg26241863,0.0846436733799935,0.870732767925745,4.81959411161779,3.77739684960118e-05,0.0355710366216458,1.92299841685005,0.911689384077354,0.827045710697361,-0.0846436733799935,8,145849419,R,II,,IGR,shore,IGR-shore,chr8:145849885-145851998,rs532924871,38
cg23114115,-0.177700805612961,0.45219327793584,-4.81801379899438,3.7943467388951e-05,0.0356056579686087,1.91862723857761,0.366209017155375,0.543909822768336,0.177700805612962,11,71658595,F,II,RNF121,Body,opensea,Body-opensea,,rs574185331,47
cg27596068,-0.237334530776416,0.238848248359164,-4.81792746296439,3.79527492711021e-05,0.0356056579686087,1.91838843609728,0.124008959273801,0.361343490050218,0.237334530776416,11,75272301,R,II,SERPINH1,TSS1500,shore,TSS1500-shore,chr11:75272950-75273616,rs151237108;rs576662883;rs545573992,20;3;2
cg00693401,-0.0228787254378137,0.0587668531295657,-4.81669699378341,3.80852814022683e-05,0.0356056579686087,1.91498505508273,0.0476965021112687,0.0705752275490824,0.0228787254378137,17,80655583,F,I,RAB40B,Body,island,Body-island,chr17:80655335-80657183,rs143867346;rs188435370;rs542265291;rs35878129,0;15;31;48
cg01023920,-0.190438264905953,0.266074495461305,-4.81657615137359,3.80983219840749e-05,0.0356056579686087,1.91465081995437,0.173926947926167,0.36436521283212,0.190438264905953,6,52954624,F,II,FBXO9,Body,opensea,Body-opensea,,rs187339122,14
cg17711068,-0.192474983396819,0.224687948847435,-4.8163420126217,3.81236014698769e-05,0.0356056579686087,1.91400322397608,0.131554892365103,0.324029875761922,0.192474983396819,2,138721306,R,II,HNMT,TSS1500,opensea,TSS1500-opensea,,rs77528597;rs186053755;rs77915871,43;34;2
cg14823825,-0.125820324450026,0.531114550141221,-4.81627873155194,3.81304366637791e-05,0.0356056579686087,1.91382819776638,0.470233747987983,0.596054072438009,0.125820324450026,8,26170211,F,II,PPP2R2A,Body,opensea,Body-opensea,,rs182498695;rs11784209,19;35
cg20960392,-0.220280364256211,0.308529825024969,-4.81592992462715,3.81681343282357e-05,0.0356056579686087,1.91286345351328,0.201942551997769,0.422222916253981,0.220280364256212,1,65617331,F,II,AK3L1,Body,shelf,Body-shelf,chr1:65613041-65614898,rs186901661;rs150529472,0;1
cg19683419,-0.214398111567079,0.276286167164374,-4.81526319522992,3.82402950313636e-05,0.0356056579686087,1.91101940923413,0.172545145438368,0.386943257005447,0.214398111567079,3,136742394,R,II,,IGR,opensea,IGR-opensea,,,
cg17704154,-0.165359939099539,0.233155490915523,-4.81507339819869,3.82608617453384e-05,0.0356056579686087,1.91049447290434,0.153142617157682,0.318502556257221,0.165359939099539,19,718608,R,II,PALM,Body,shore,Body-shore,chr19:719098-720953,rs140514245;rs34318529,26;24
cg13875151,-0.173553002209235,0.274923216267266,-4.81459304451163,3.83129628508083e-05,0.0356075975144671,1.90916593239824,0.190945957133765,0.364498959343001,0.173553002209235,2,239187546,F,II,PER2,5'UTR,opensea,5'UTR-opensea,,rs569542106;rs114597992;rs562254707,20;29;41
cg24336358,-0.157572640883912,0.616826683197458,-4.81318639135341,3.84659406300271e-05,0.0356168994545119,1.90527556421455,0.540581856963307,0.698154497847219,0.157572640883912,12,3313713,F,II,TSPAN9,Body,shelf,Body-shelf,chr12:3308812-3310270,rs80098486;rs549770035;rs542354214,8;13;44
cg09785228,-0.223164268207793,0.225610504804303,-4.81249389068753,3.85414753148637e-05,0.0356168994545119,1.90336037036014,0.117627794381177,0.34079206258897,0.223164268207793,8,66954151,R,II,DNAJC5B,5'UTR,opensea,5'UTR-opensea,,rs73241300,12
cg03002834,-0.175239551038191,0.37201238909834,-4.81156431242256,3.86431014153019e-05,0.0356168994545119,1.90078956093743,0.287219057950828,0.462458608989019,0.175239551038191,8,1011674,R,II,,IGR,opensea,IGR-opensea,,rs556154356;rs188258719;rs537777463;rs111973210,51;49;31;27
cg19884556,-0.102880119090859,0.246611178982002,-4.8107320825526,3.87343111327641e-05,0.0356168994545119,1.89848802456949,0.196830476196102,0.299710595286962,0.102880119090859,6,159128336,F,I,SYTL3,Body,opensea,Body-opensea,,rs544778801,51
cg25331431,0.180456968606271,0.686573113494752,4.81061028043838,3.87476782133101e-05,0.0356168994545119,1.89815118408464,0.773891001530045,0.593434032923774,-0.180456968606271,16,87099124,F,II,,IGR,opensea,IGR-opensea,,rs573617840,30
cg24525238,0.0932595266526821,0.810490787731757,4.81022199476014,3.87903209809136e-05,0.0356168994545119,1.89707739716918,0.855616365144345,0.762356838491664,-0.0932595266526816,8,130305094,R,II,,IGR,opensea,IGR-opensea,,rs558873152;rs577399711,51;30
cg02827739,-0.166038039971259,0.235463583215624,-4.80998090283514,3.88168219611264e-05,0.0356168994545119,1.89641067324313,0.155122596132757,0.321160636104016,0.166038039971259,5,33675664,R,II,ADAMTS12,Body,opensea,Body-opensea,,rs545761961;rs559019044,41;1
cg03498081,0.136899126901453,0.781420777649313,4.80900856532427,3.89238849180722e-05,0.0356168994545119,1.89372177769561,0.847662290666145,0.710763163764693,-0.136899126901452,16,80061357,F,II,,IGR,opensea,IGR-opensea,,rs540020844,15
cg14744604,-0.226133696365399,0.633819650243922,-4.80896567614832,3.89286141565767e-05,0.0356168994545119,1.89360317374259,0.524400119744536,0.750533816109935,0.226133696365399,14,93559541,F,II,ITPK1,Body,opensea,Body-opensea,,rs373486237,22
cg14990266,-0.215656469044902,0.2769569324693,-4.80859252492961,3.89697843653244e-05,0.0356168994545119,1.89257128208981,0.172607028092735,0.388263497137636,0.215656469044902,8,26178981,R,II,PPP2R2A,Body,opensea,Body-opensea,,rs114598426,36
cg00264528,-0.19132352141824,0.193376017125031,-4.80825274599367,3.90073102599569e-05,0.0356168994545119,1.89163168455495,0.100800119664592,0.292123641082832,0.19132352141824,3,170746012,F,II,SLC2A2,TSS1500,shore,TSS1500-shore,chr3:170746072-170746292,rs145888571,47
cg16655445,-0.160895820579194,0.775837819542535,-4.80810428542675,3.90237178412497e-05,0.0356168994545119,1.89122114603247,0.697985003133247,0.858880823712441,0.160895820579194,6,105073697,F,II,,IGR,opensea,IGR-opensea,,rs529502335;rs77944595,13;20
cg16463196,-0.181624515890695,0.168376240455991,-4.80787117718559,3.90494943827237e-05,0.0356168994545119,1.89057653403819,0.0804934101862996,0.262117926076994,0.181624515890695,22,45144698,R,II,PRR5-ARHGAP8,Body,opensea,Body-opensea,,rs558450821,7
cg10837229,0.249825586114365,0.647655750859204,4.80779188284383,3.90582664193305e-05,0.0356168994545119,1.8903572629977,0.768539098979058,0.518713512864693,-0.249825586114365,8,67033974,R,II,,IGR,opensea,IGR-opensea,,rs545362433,1
cg27348461,-0.155612526892213,0.345608341606289,-4.8076549323375,3.90734213602175e-05,0.0356168994545119,1.88997855754228,0.270311957626186,0.4259244845184,0.155612526892213,8,105678889,F,II,,IGR,opensea,IGR-opensea,,,
cg03559717,-0.207981016051773,0.313994147037846,-4.80580627295967,3.92785675138521e-05,0.0357311018541897,1.88486663633984,0.213358171528923,0.421339187580697,0.207981016051774,1,204353924,F,II,,IGR,opensea,IGR-opensea,,rs542191216;rs576771677;rs574809611;rs1877392;rs563771557,0;1;26;28;42
cg03801404,0.177692499450867,0.583981262352277,4.80562188660795,3.92990875991951e-05,0.0357311018541897,1.8843567832132,0.669961504022051,0.492269004571185,-0.177692499450866,21,19166327,R,II,C21orf91,Body,opensea,Body-opensea,,,
cg14422997,-0.136931571332303,0.19701446655664,-4.8041892064307,3.94588923490766e-05,0.0358306371315351,1.88039530886251,0.130757254621655,0.267688825953958,0.136931571332303,2,20379981,R,II,,IGR,opensea,IGR-opensea,,rs532117606,12
cg05096452,-0.170195852051889,0.382897594931981,-4.80214280106582,3.96882756289698e-05,0.0359930190971917,1.87473708067707,0.30054476329397,0.470740615345859,0.17019585205189,7,127666927,F,II,SND1,Body,opensea,Body-opensea,,rs139227318,23
cg18962562,-0.187563538824233,0.222849396597798,-4.80116127958566,3.97987655299382e-05,0.0360473014849667,1.87202331599254,0.132092845553814,0.319656384378048,0.187563538824234,11,7618401,F,II,PPFIBP2,TSS200,opensea,TSS200-opensea,,rs545391390;rs374655137;rs141965168;rs115237611,0;12;14;20
cg13232995,-0.117790127851434,0.618778459163764,-4.79977169749197,3.99557144104556e-05,0.0361434721749197,1.86818143686919,0.561783236009844,0.679573363861278,0.117790127851435,15,102034820,R,II,,IGR,opensea,IGR-opensea,,rs11638090;rs181756593;rs540917341,44;11;2
cg06837799,-0.0778375600398852,0.136932804798723,-4.79885407759768,4.00596941257978e-05,0.0361915442954199,1.86564449954592,0.0992694692955526,0.177107029335438,0.0778375600398853,7,27160960,F,II,HOXA3,5'UTR,shore,5'UTR-shore,chr7:27162087-27162426,rs183209689,0
cg06651904,-0.164972577520529,0.182446963096317,-4.79788048008229,4.01703113139727e-05,0.0362454835207118,1.86295286528227,0.102621522360577,0.267594099881106,0.164972577520529,9,121358761,F,II,,IGR,opensea,IGR-opensea,,rs138420594;rs191421955;rs545428076,1;35;51
cg01973676,0.132182732330836,0.794351805913885,4.79684952914544,4.02877761374555e-05,0.0362709812592907,1.86010274214903,0.85831119252558,0.726128460194744,-0.132182732330836,7,101596404,R,I,CUX1,Body,opensea,Body-opensea,,rs567045598;rs76335318;rs548704694;rs567227333,37;23;18;17
cg20803226,-0.165367927928438,0.14196533376416,-4.79673831950782,4.03004675810585e-05,0.0362709812592907,1.85979530114169,0.061948594443948,0.227316522372386,0.165367927928438,19,55986474,F,II,ZNF628,TSS1500,shore,TSS1500-shore,chr19:55987544-55988171,rs535229523;rs116810158,33;50
cg12493908,-0.204808489114945,0.190973719414655,-4.79590004151024,4.03962614622519e-05,0.036311291532643,1.85747789460208,0.0918728375848429,0.296681326699788,0.204808489114945,22,18342351,F,II,MICAL3,Body,opensea,Body-opensea,,rs560630825,32
cg05103803,-0.0550308975809902,0.858339504142088,-4.79533276245113,4.04612155468378e-05,0.0363238138980641,1.85590968829636,0.831711650473867,0.886742548054858,0.0550308975809911,7,150883361,R,II,ASB10,Body,opensea,Body-opensea,,rs566612362;rs75149425;rs558128168;rs140974362,35;34;17;4
cg16071993,-0.17421113860134,0.119426188932176,-4.79279245920825,4.07533599902569e-05,0.0365118567519369,1.84888746070816,0.0351304767057217,0.209341615307062,0.17421113860134,21,45122994,F,II,,IGR,opensea,IGR-opensea,,rs185965524;rs149946871;rs531020979,0;30;31
cg06350509,-0.258642573831427,0.250982998580204,-4.79084750292221,4.09784549878191e-05,0.0365118567519369,1.8435112731363,0.125833366081127,0.384475939912554,0.258642573831427,10,105455544,F,II,SH3PXD2A,Body,shelf,Body-shelf,chr10:105452338-105453230,rs115937955;rs371229728,0;21
cg10441898,-0.288286696706546,0.276256134804227,-4.79084650987443,4.09785702312505e-05,0.0365118567519369,1.84350852825269,0.136762571881704,0.42504926858825,0.288286696706546,1,43839507,F,II,,IGR,opensea,IGR-opensea,,rs553981380;rs138520086,15;27
cg18425140,0.0369947174499071,0.917838697470632,4.79013229462227,4.10615386478265e-05,0.0365118567519369,1.84153438373491,0.935739367204457,0.898744649754551,-0.0369947174499067,6,6592383,F,II,LY86,Body,opensea,Body-opensea,,,
cg20064002,0.0936169793990824,0.836266106917011,4.790010354228,4.10757208205161e-05,0.0365118567519369,1.84119733494285,0.881564645335922,0.78794766593684,-0.0936169793990821,4,143883218,R,II,,IGR,opensea,IGR-opensea,,rs190401732;rs535198728;rs181754157,38;9;1
cg04221226,-0.0683253982495539,0.861780277941056,-4.78996257373437,4.10812792185096e-05,0.0365118567519369,1.84106526777346,0.828719601368692,0.897044999618245,0.0683253982495536,2,31292890,R,II,GALNT14,Body,opensea,Body-opensea,,rs570686070;rs533181330;rs546738657;rs181755994,32;31;29;2
cg19018049,-0.220296462493083,0.224705652700134,-4.7891539277556,4.11754641636233e-05,0.0365118567519369,1.83883016288298,0.118110590203481,0.338407052696564,0.220296462493083,6,43744382,R,II,VEGFA,Body,opensea,Body-opensea,,rs568742884,1
cg05254518,0.104204747159732,0.831189351685294,4.78872934995809,4.1225001738178e-05,0.0365118567519369,1.83765664449856,0.881611003536777,0.777406256377046,-0.104204747159731,15,86245702,F,II,AKAP13,Body,opensea,Body-opensea,,,
cg25569999,-0.20262560346303,0.166745206530337,-4.78802139802634,4.1307733853658e-05,0.0365118567519369,1.83569991820226,0.0687005596933868,0.271326163156417,0.20262560346303,5,173146773,F,II,LINC01484,Body,opensea,Body-opensea,,rs187234943,16
cg12884378,0.131303734589221,0.869125402177442,4.78789131830896,4.13229530792247e-05,0.0365118567519369,1.83534039143981,0.932659467301259,0.801355732712039,-0.13130373458922,20,45607688,R,II,EYA2,5'UTR,opensea,5'UTR-opensea,,rs139789889,2
cg08917944,-0.101792424059086,0.0907923498510557,-4.78741404090549,4.13788419621473e-05,0.0365118567519369,1.83402125680144,0.0415379511127882,0.143330375171874,0.101792424059086,16,69430710,F,II,,IGR,opensea,IGR-opensea,,rs573458052;rs186180023,11;38
cg03304441,-0.209394505797328,0.287729237351537,-4.78701207169938,4.14259706352771e-05,0.0365118567519369,1.8329102770926,0.186409315191539,0.395803820988867,0.209394505797328,15,40138616,R,II,GPR176,Body,opensea,Body-opensea,,rs550945859;rs138506048,20;1
cg02123631,-0.221763441530947,0.409958907067729,-4.7865762801867,4.14771251179516e-05,0.0365118567519369,1.83170583082502,0.302654016004368,0.524417457535315,0.221763441530947,19,5614682,F,II,SAFB2,Body,opensea,Body-opensea,,rs188098274;rs142501952;rs555258429;rs534905578,0;1;16;42
cg22675618,-0.203514568308494,0.196211008286564,-4.78626304043734,4.15139329293804e-05,0.0365118567519369,1.83084010306782,0.0977362171695505,0.301250785478044,0.203514568308494,3,54893358,R,II,CACNA2D3,Body,opensea,Body-opensea,,rs538631908;rs558566643,38;2
cg01846703,-0.180529302330172,0.301455973911367,-4.78605325572714,4.15386022337516e-05,0.0365118567519369,1.8302603068466,0.21410308568709,0.394632388017262,0.180529302330172,11,83952986,F,II,DLG2,Body,opensea,Body-opensea,,rs187596153;rs117180451,37;44
